capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785492552,812292480,521.135,29.456,550.447,5,0
1785492552,945697754,508.832,1.634,510.358,5,0
1785492553,12401367,500.866,9.341,510.07,5,1
1785492553,79105469,480.545,1.464,481.81,5,1
1785492553,212516113,405.724,1.341,406.985,5,1
1785492553,279222168,398.054,2.398,399.128,5,1
1785492553,345929199,384.317,1.269,385.506,5,1
1785492553,412636719,407.718,1.123,408.764,5,1
1785492553,479344727,418.883,1.045,419.853,5,1
1785492553,612775879,387.429,2.256,389.604,5,1
1785492553,679481689,373.123,1.839,374.883,5,1
1785492553,746187988,387.913,2.736,390.568,5,1
1785492553,812895020,419.266,1.108,420.283,5,1
1785492553,879602295,441.826,1.518,442.903,5,1
1785492554,13018799,423.633,1.128,424.684,5,1
1785492554,79728027,410.643,1.207,411.771,5,1
1785492554,146437500,440.213,7.67,447.756,5,1
1785492554,213147705,467.391,1.075,468.39,5,1
1785492554,346569824,402.123,1.182,403.223,5,1
1785492554,413281738,390.585,1.049,391.558,5,1
1785492554,479994141,376.418,1.066,377.411,5,1
1785492554,546707031,380.336,1.331,381.588,5,1
1785492554,680103516,329.524,1.07,330.518,5,1
1785492554,813563965,292.498,1.041,293.464,5,1
1785492554,880296387,326.928,1.061,327.916,5,1
1785492554,947030518,370.974,1.039,371.939,5,1
1785492555,13766113,425.285,1.153,426.342,5,1
1785492555,80503418,444.786,1.064,445.775,5,1
1785492555,147242188,464.736,6.901,471.515,5,1
1785492555,213982666,503.997,1.094,505.013,5,1
1785492555,280724365,524.087,1.464,525.471,5,1
1785492555,414213135,482.756,3.316,485.994,5,1
1785492555,480959717,460.408,1.253,461.578,5,1
1785492555,614457520,384.845,1.014,385.787,5,1
1785492555,814758057,271.964,1.481,273.347,5,1
1785492555,881530518,265.985,3.568,269.467,5,1
1785492555,948305420,253.601,3.665,257.181,5,1
1785492556,15083008,238.919,2.311,241.097,5,1
1785492556,81863281,226.212,1.561,227.697,5,1
1785492556,148646240,238.977,1.192,240.092,5,1
1785492556,215431885,254.198,1.119,255.242,5,1
1785492556,282220215,255.337,1.292,256.551,5,1
1785492556,349011230,261.042,1.245,262.211,5,1
1785492556,415804932,265.821,4.891,270.453,5,1
1785492556,482601318,271.473,1.11,272.503,5,1
1785492556,549400391,276.04,1.23,277.188,5,1
1785492556,616200928,282.367,1.095,283.388,5,1
1785492556,682906738,284.582,1.369,285.877,5,1
1785492556,749617920,290.004,1.128,291.059,5,1
1785492556,816329102,291.252,1.081,292.261,5,1
1785492556,883040039,298.748,1.111,299.777,5,1
1785492556,949751221,296.982,1.078,297.987,5,1
1785492557,16462158,301.167,1.086,302.179,5,1
1785492557,83173340,319.316,2.793,322.015,5,1
1785492557,149884521,315.522,1.289,316.729,5,1
1785492557,216595459,319.177,1.169,320.269,5,1
1785492557,283306641,320.963,1.075,321.965,5,1
1785492557,350017578,322.523,11.201,333.595,5,1
1785492557,416728760,332.473,28.025,359.1,5,1
1785492557,483439697,335.123,1.259,336.306,5,1
1785492557,550150879,330.362,1.074,331.362,5,1
1785492557,616861816,334.995,1.126,336.046,5,1
1785492557,683573486,346.041,1.131,347.099,5,1
1785492557,750284912,347.215,1.084,348.164,5,1
