capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785492552,812292480,559.764,5.239,,,0
1785492552,945697754,514.527,0.624,,83.563,0
1785492553,12401367,2803.11,6.762,2809.86,2361.428,1
1785492554,546707031,1290.202,0.921,1291.111,15.547,1
1785492554,680103516,1161.687,1.644,1163.48,5.609,1
1785492554,813563965,1053.629,2.288,1055.901,26.025,1
1785492554,880296387,993.728,0.765,994.449,5.308,1
1785492554,947030518,932.099,0.998,933.062,5.345,1
1785492555,13766113,870.31,0.91,870.987,4.665,1
1785492555,80503418,807.951,0.811,808.598,4.348,1
1785492555,147242188,746.379,0.848,747.215,5.349,1
1785492555,213982666,683.751,0.693,684.425,3.958,1
1785492555,280724365,620.631,1.547,622.181,4.476,1
1785492555,414213135,494.501,0.593,495.071,6.401,1
1785492555,480959717,477.706,0.678,478.358,50.031,1
1785492555,614457520,391.444,0.597,392.019,47.161,1
1785492555,814758057,287.537,1.136,288.655,96.925,1
1785492555,881530518,274.116,0.93,275.033,53.154,1
1785492555,948305420,261.644,0.608,262.229,53.978,1
1785492556,15083008,246.392,0.601,246.969,51.516,1
1785492556,81863281,232.45,2.231,234.659,54.467,1
1785492556,148646240,245.638,0.828,246.314,78.442,1
1785492556,215431885,264.962,0.892,265.827,86.294,1
1785492556,282220215,265.108,0.646,265.73,66.698,1
1785492556,349011230,269.644,0.835,270.456,71.514,1
1785492556,415804932,278.949,0.801,279.724,76.063,1
1785492556,482601318,278.224,0.711,278.909,65.982,1
1785492556,549400391,282.371,0.63,282.979,70.867,1
1785492556,616200928,288.561,0.575,289.114,72.938,1
1785492556,682906738,290.791,0.723,291.491,69.083,1
1785492556,749617920,297.315,0.631,297.92,73.141,1
1785492556,816329102,297.534,0.578,298.089,66.88,1
1785492556,883040039,304.439,0.563,304.98,73.602,1
1785492556,949751221,302.933,0.579,303.489,65.22,1
1785492557,16462158,315.884,0.64,316.5,79.719,1
1785492557,83173340,331.715,0.817,332.383,82.591,1
1785492557,149884521,321.835,0.582,322.395,56.73,1
1785492557,216595459,326.269,0.643,326.993,71.2,1
1785492557,283306641,327.449,0.593,328.102,67.844,1
1785492557,350017578,331.183,0.722,331.876,70.568,1
1785492557,416728760,364.324,0.766,365.066,99.901,1
1785492557,483439697,342.181,2.065,344.232,45.867,1
1785492557,550150879,336.435,0.765,337.174,59.663,1
1785492557,616861816,344.304,0.668,344.934,74.473,1
1785492557,683573486,356.121,0.834,356.935,78.706,1
1785492557,750284912,354.701,0.606,355.282,65.065,1
1785492557,816996338,358.944,0.594,359.515,70.944,1
1785492557,883708008,364.658,0.666,365.301,72.497,1
1785492557,950419434,368.525,0.64,369.141,70.552,1
1785492558,17130859,376.412,0.696,377.084,74.654,1
1785492558,83842529,390.098,1.706,391.801,81.4,1
1785492558,150553955,397.024,0.919,397.924,72.851,1
1785492558,217265381,393.272,0.721,393.968,62.765,1
1785492558,283976807,396.932,0.658,397.566,70.312,1
1785492558,350688232,401.929,0.728,402.693,71.78,1
1785492558,417399658,404.718,0.799,405.494,69.568,1
1785492558,484111084,403.777,0.656,404.411,65.63,1
1785492558,550822510,405.222,0.735,405.935,68.235,1
1785492558,684247559,355.275,0.569,355.822,83.314,1
1785492558,884385010,319.818,0.635,320.429,164.745,1
1785492558,951097656,321.712,0.643,322.333,68.616,1
1785492559,17810303,349.415,3.259,352.654,97.029,1
1785492559,84522705,333.697,0.641,334.314,48.378,1
1785492559,151235352,348.205,0.59,348.767,81.165,1
1785492559,217947998,353.948,0.695,354.602,72.547,1
1785492559,284660400,365.115,0.803,365.901,77.999,1
1785492559,418085693,358.495,0.603,359.073,126.61,1
1785492559,484798340,358.101,0.716,358.777,66.414,1
1785492559,551510742,362.076,0.585,362.639,70.577,1
1785492559,618216797,362.017,0.647,362.568,66.635,1
1785492559,684960449,361.584,0.748,362.309,66.485,1
1785492559,751705322,379.65,0.716,380.346,84.78,1
1785492559,818451416,376.874,0.68,377.531,63.933,1
1785492559,885198486,385.169,0.659,385.806,75.021,1
